"","Marital.status","App.Mode","App.Order","Course","Daytime.evening.attendance","Prev.Qual","Prev.Qual.Grade","Nationality","Mother.Quals","Father.Quals","Mother.Occupation","Father.Occupation","Admission.Grade","Displaced","Ed.Special.Needs","Debtor","Fees.Updated","Gender","Scholarship","Age.at.enrollment","International","Curricular.units.1st.sem..credited.","Curricular.units.1st.sem..enrolled.","Curricular.units.1st.sem..evaluations.","Curricular.units.1st.sem..approved.","Curricular.units.1st.sem..grade.","Curricular.units.1st.sem..without.evaluations.","Curricular.units.2nd.sem..credited.","Curricular.units.2nd.sem..enrolled.","Curricular.units.2nd.sem..evaluations.","Curricular.units.2nd.sem..approved.","Curricular.units.2nd.sem..grade.","Curricular.units.2nd.sem..without.evaluations.","Unemployment.rate","Inflation.rate","GDP","Target"
"1","single",17,5,"amd","evening",1,122,"pt",19,12,"5","9",127.3,"yes","no","no","yes","male","no",20,"no",0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,"Dropout"
"2","single",15,1,"tour","evening",1,160,"pt",1,3,"3","3",142.5,"yes","no","no","no","male","no",19,"no",0,6,6,6,14,0,0,6,6,6,13.6666666666667,0,13.9,-0.3,0.79,"Graduate"
"3","single",1,5,"cd","evening",1,122,"pt",37,37,"9","9",124.8,"yes","no","no","no","male","no",19,"no",0,6,0,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74,"Dropout"
"4","single",17,2,"jc","evening",1,122,"pt",38,37,"5","3",119.6,"yes","no","no","yes","female","no",20,"no",0,6,8,6,13.4285714285714,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,"Graduate"
"5","married",39,1,"ssea","daytime",1,100,"pt",37,38,"9","9",141.5,"no","no","no","yes","female","no",45,"no",0,6,9,5,12.3333333333333,0,0,6,6,6,13,0,13.9,-0.3,0.79,"Graduate"
"6","married",39,1,"mngmtea","daytime",19,133.1,"pt",37,37,"9","7",114.8,"no","no","yes","yes","male","no",50,"no",0,5,10,5,11.8571428571429,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,"Graduate"
"7","single",1,1,"nurs","evening",1,142,"pt",19,38,"7","10",128.4,"yes","no","no","yes","female","yes",18,"no",0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,"Graduate"
"8","single",18,4,"tour","evening",1,119,"pt",37,37,"9","9",113.1,"yes","no","no","no","male","no",22,"no",0,5,5,0,0,0,0,5,5,0,0,0,15.5,2.8,-4.06,"Dropout"
"9","single",1,3,"ss","evening",1,137,"rom",1,1,"9","9",129.3,"no","no","no","yes","female","yes",21,"yes",0,6,8,6,13.875,0,0,6,7,6,14.1428571428571,0,16.2,0.3,-0.92,"Graduate"
"10","single",1,1,"ss","evening",1,138,"pt",1,19,"4","7",123,"yes","no","yes","no","female","no",18,"no",0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,"Dropout"
"11","single",1,1,"amm","evening",1,139,"pt",38,19,"5","7",130.6,"yes","no","no","yes","female","no",18,"no",0,6,6,6,12.3333333333333,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,"Graduate"
"12","single",1,1,"nurs","evening",1,136,"pt",19,38,"9","9",119.3,"yes","no","no","yes","female","yes",18,"no",0,8,8,7,13.2142857142857,0,0,8,8,7,13.2142857142857,0,12.7,3.7,-1.7,"Graduate"
"13","single",1,2,"be","evening",1,133,"pt",19,37,"4","9",130.2,"yes","no","no","yes","female","no",19,"no",0,6,6,0,0,0,0,6,0,0,0,0,12.7,3.7,-1.7,"Dropout"
"14","single",53,1,"tour","evening",42,110,"pt",1,1,"4","7",111.8,"yes","no","no","yes","female","yes",21,"no",0,6,7,6,10.5714285714286,0,0,6,8,5,11,0,8.9,1.4,3.51,"Graduate"
"15","single",1,1,"vn","evening",1,149,"pt",38,37,"5","5",137.1,"yes","no","no","yes","female","yes",18,"no",0,5,7,4,13.25,0,0,5,5,5,12,0,10.8,1.4,1.74,"Graduate"
"16","single",1,1,"jc","evening",1,127,"pt",19,37,"9","3",120.7,"yes","no","no","yes","female","no",20,"no",0,6,6,5,13.2,0,0,6,7,0,0,0,15.5,2.8,-4.06,"Dropout"
"17","single",18,1,"ss","evening",1,137,"pt",19,38,"5","8",137.4,"yes","no","no","yes","female","no",18,"no",0,6,10,1,12,0,0,6,14,2,11,0,10.8,1.4,1.74,"Enrolled"
"18","single",17,2,"nurs","evening",1,135,"pt",19,1,"5","4",127.3,"yes","no","no","yes","female","no",18,"no",0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,"Graduate"
"19","single",1,1,"equi","evening",1,137,"pt",3,19,"3","5",136.3,"yes","no","no","yes","female","no",20,"no",0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,"Graduate"
"20","single",1,1,"be","evening",1,140,"pt",19,19,"7","7",124.6,"yes","no","no","yes","female","no",18,"no",0,7,7,6,11.6666666666667,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,"Enrolled"
"21","single",1,3,"amd","evening",1,122,"pt",1,1,"9","8",120.3,"no","no","no","yes","female","yes",21,"no",0,0,0,0,0,0,0,0,0,0,0,0,11.1,0.6,2.02,"Graduate"
"22","single",18,4,"oh","evening",1,127,"pt",1,38,"4","7",121.8,"yes","no","no","yes","female","no",20,"no",0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,"Enrolled"
"23","single",1,4,"nurs","evening",1,142,"pt",19,19,"1","1",125.5,"yes","no","no","yes","female","no",18,"no",0,8,12,7,12.8571428571429,0,0,8,12,7,12.8571428571429,0,12.7,3.7,-1.7,"Graduate"
"24","single",1,4,"amm","evening",1,125,"pt",1,38,"4","7",114.9,"yes","no","no","yes","female","yes",19,"no",0,6,8,6,13.375,0,0,6,7,6,12.2857142857143,0,11.1,0.6,2.02,"Graduate"
"25","single",1,1,"nurs","evening",1,126,"pt",19,19,"3","7",123.9,"no","no","no","yes","female","no",19,"no",0,7,8,6,13.2966666666667,0,0,8,9,7,14.1142857142857,0,11.1,0.6,2.02,"Graduate"
"26","single",1,1,"ss","evening",1,151,"pt",19,38,"9","9",157,"yes","no","yes","yes","female","yes",18,"no",0,6,8,5,11.6,0,0,6,12,4,11,0,7.6,2.6,0.32,"Enrolled"
"27","single",17,2,"ss","evening",1,115,"pt",19,38,"7","8",116.4,"yes","no","no","yes","female","no",21,"no",0,6,9,6,11.375,0,0,6,9,6,13.2857142857143,0,16.2,0.3,-0.92,"Graduate"
"28","single",1,1,"vn","evening",1,138,"pt",19,19,"3","3",131,"yes","no","no","yes","female","no",18,"no",0,5,9,5,12.6666666666667,2,0,5,7,4,13,0,9.4,-0.8,-3.12,"Enrolled"
"29","single",1,1,"mngmt","evening",1,135,"pt",19,1,"9","9",122.1,"yes","no","no","yes","female","no",20,"no",0,5,6,5,12,0,0,5,6,5,12.3333333333333,0,16.2,0.3,-0.92,"Graduate"
"30","single",17,2,"nurs","evening",1,127,"pt",3,3,"1","10",118.8,"yes","no","no","yes","male","no",19,"no",0,7,9,6,12.9333333333333,0,0,7,7,6,13.7166666666667,0,16.2,0.3,-0.92,"Enrolled"
