"","Target","Age","Smstr1.GPA","Smstr2.GPA","GPA","Gender","Mart.Stat","Nationality","Mom.Ed","Mom.Occp","Dad.Ed","Dad.Occp","Course","Admission.Grade","Scholarship","Age.Group","Grade"
"1","Enrolled",17,3.12,3.12,3.12,0,1,1,3,2,19,3,9500,133.8,0,"A_yng_adults","B"
"2","Enrolled",17,0,0,0,1,1,1,3,1,39,3,171,133.5,0,"A_yng_adults","F"
"3","Graduate",17,3.25,3.12,3.18,0,1,1,4,4,1,4,9070,132,1,"A_yng_adults","B"
"4","Graduate",17,3.35,3.35,3.35,0,1,1,19,1,19,4,9500,133.3,1,"A_yng_adults","B+"
"5","Graduate",17,3.72,3.36,3.54,1,1,1,1,9,1,8,9670,149.5,1,"A_yng_adults","B+"
"6","Graduate",18,3.33,3.59,3.46,0,1,1,19,7,38,10,9500,128.4,1,"A_yng_adults","B+"
"7","Dropout",18,2.85,3.38,3.12,0,1,1,1,4,19,7,9238,123,0,"A_yng_adults","B"
"8","Graduate",18,3.08,3.55,3.32,0,1,1,38,5,19,7,9670,130.6,0,"A_yng_adults","B+"
"9","Graduate",18,3.3,3.3,3.3,0,1,1,19,9,38,9,9500,119.3,1,"A_yng_adults","B+"
"10","Graduate",18,3.31,3,3.16,0,1,1,38,5,37,5,9085,137.1,1,"A_yng_adults","B"
"11","Enrolled",18,3,2.75,2.88,0,1,1,19,5,38,8,9238,137.4,0,"A_yng_adults","B-"
"12","Graduate",18,3.33,3.64,3.49,0,1,1,19,5,1,4,9500,127.3,0,"A_yng_adults","B+"
"13","Enrolled",18,2.92,3.38,3.15,0,1,1,19,7,19,7,9853,124.6,0,"A_yng_adults","B"
"14","Graduate",18,3.21,3.21,3.21,0,1,1,19,1,19,1,9500,125.5,0,"A_yng_adults","B"
"15","Enrolled",18,2.9,2.75,2.83,0,1,1,19,9,38,9,9238,157,1,"A_yng_adults","B-"
"16","Enrolled",18,3.17,3.25,3.21,0,1,1,19,3,19,3,9085,131,0,"A_yng_adults","B"
"17","Enrolled",18,2.83,3.38,3.1,1,1,1,1,4,1,6,9147,138.8,0,"A_yng_adults","B"
"18","Dropout",18,3.19,0,1.59,0,1,1,3,2,3,2,9773,121.1,0,"A_yng_adults","D+"
"19","Graduate",18,2.92,3.3,3.11,0,1,1,19,9,19,9,9238,127.6,0,"A_yng_adults","B"
